"","counts","tfidf","positivity","negativity","sentiment","words"
"360",3,0.270224918562179,0,0.00525394045534151,0,"balance"
"361",1,0.0640373911563835,0,0.00175131348511384,0,"bald"
"362",5,0.818801243691903,0.00175131348511384,0.00700525394045534,0.25,"ball"
"363",3,0.289568159610283,0.00350262697022767,0.00175131348511384,2,"ballantyne"
"364",2,0.209162741932381,0,0.00350262697022767,0,"ballooned"
"365",1,0.0963931256353984,0.00175131348511384,0,Inf,"bam"
"366",2,0.117689778099545,0.00175131348511384,0.00175131348511384,1,"banana"
"367",2,0.113872517650904,0,0.00350262697022767,0,"band"
"368",2,0.19907275946441,0,0.00350262697022767,0,"bands"
"369",4,0.292402118381147,0.00175131348511384,0.00525394045534151,0.333333333333333,"bank"
"370",4,0.429671849162513,0.00350262697022767,0.00350262697022767,1,"bar"
"371",4,0.36342625382388,0.00175131348511384,0.00525394045534151,0.333333333333333,"barely"
"372",1,0.132715172976273,0.00175131348511384,0,Inf,"bark"
"373",1,0.109016034944796,0,0.00175131348511384,0,"barley"
"374",1,0.610489795690856,0.00175131348511384,0,Inf,"barrett"
"375",2,0.339160997606031,0.00350262697022767,0,Inf,"bars"
"376",1,0.125443108703601,0,0.00175131348511384,0,"base"
"377",9,0.668414820615955,0.00525394045534151,0.010507880910683,0.5,"based"
"378",2,0.313512225158069,0,0.00350262697022767,0,"baseline"
"379",1,0.0494991726235829,0,0.00175131348511384,0,"bases"
"380",9,0.812453139070823,0.00350262697022767,0.0122591943957968,0.285714285714286,"basic"
"381",19,1.44123445980811,0.00350262697022767,0.0297723292469352,0.117647058823529,"basically"
"382",4,0.681900087325687,0.00525394045534151,0.00175131348511384,3,"basics"
"383",2,0.143083545865044,0,0.00350262697022767,0,"bathroom"
"384",4,0.286751750222666,0.00175131348511384,0.00525394045534151,0.333333333333333,"batteries"
"385",31,3.29829161210959,0.00350262697022767,0.0507880910683012,0.0689655172413793,"battery"
"386",1,0.055164740574475,0.00175131348511384,0,Inf,"batteryanother"
"387",1,0.327048104834387,0,0.00175131348511384,0,"battle"
"388",1,0.0418143695678669,0,0.00175131348511384,0,"bawling"
